epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,687.867,0.83593,0.62165,1.0025,0.70619,0.80303,0.79951,0.47648,1.47721,1.10014,1.47724,0.00076482,0.00076482,0.00076482
84,694.749,0.8076,0.66208,1.00097,0.70816,0.78937,0.7947,0.50302,1.42758,1.09583,1.42068,0.000753817,0.000753817,0.000753817
85,701.604,0.78253,0.62086,0.97618,0.70816,0.78937,0.7947,0.50302,1.42758,1.09583,1.42068,0.000742815,0.000742815,0.000742815
86,708.766,0.8363,0.63574,0.98144,0.76998,0.74242,0.7982,0.49876,1.39371,1.09239,1.37378,0.000731813,0.000731813,0.000731813
87,715.865,0.80466,0.65894,0.9923,0.75114,0.75358,0.80796,0.49858,1.38064,1.10368,1.36041,0.000720811,0.000720811,0.000720811
88,722.835,0.77516,0.63471,0.98151,0.68709,0.79697,0.81307,0.49531,1.40396,1.11304,1.37544,0.000709809,0.000709809,0.000709809
89,729.783,0.81189,0.6099,1.00354,0.68709,0.79697,0.81307,0.49531,1.40396,1.11304,1.37544,0.000698806,0.000698806,0.000698806
90,737.113,0.79174,0.61796,0.97652,0.73591,0.74922,0.80166,0.49487,1.3873,1.11894,1.36817,0.000687804,0.000687804,0.000687804
91,744.21,0.74074,0.58931,0.97283,0.72057,0.75029,0.79902,0.49557,1.40317,1.12328,1.36843,0.000676802,0.000676802,0.000676802
92,751.225,0.77745,0.60799,0.97781,0.732,0.73636,0.78638,0.49932,1.42226,1.09185,1.39652,0.0006658,0.0006658,0.0006658
93,758.249,0.77281,0.62231,0.97496,0.732,0.73636,0.78638,0.49932,1.42226,1.09185,1.39652,0.000654798,0.000654798,0.000654798
94,765.226,0.75924,0.60771,0.9738,0.7135,0.72727,0.79298,0.50057,1.41242,1.09251,1.38843,0.000643795,0.000643795,0.000643795
95,772.799,0.77509,0.62443,0.98822,0.76576,0.65455,0.79404,0.4959,1.41897,1.07751,1.39757,0.000632793,0.000632793,0.000632793
96,781.376,0.78907,0.62328,0.98663,0.78359,0.66364,0.78743,0.48016,1.4137,1.12338,1.37975,0.000621791,0.000621791,0.000621791
97,790.034,0.71206,0.57828,0.95331,0.78359,0.66364,0.78743,0.48016,1.4137,1.12338,1.37975,0.000610789,0.000610789,0.000610789
98,798.653,0.75335,0.60029,0.97904,0.73423,0.66999,0.7562,0.48542,1.43321,1.1491,1.38992,0.000599787,0.000599787,0.000599787
99,807.324,0.73233,0.57677,0.96017,0.81778,0.62726,0.77567,0.49071,1.40485,1.09886,1.37665,0.000588784,0.000588784,0.000588784
100,816.084,0.75533,0.59165,0.97751,0.81289,0.71275,0.83044,0.49567,1.39133,1.02547,1.37063,0.000577782,0.000577782,0.000577782
101,824.644,0.76334,0.59778,0.96982,0.81289,0.71275,0.83044,0.49567,1.39133,1.02547,1.37063,0.00056678,0.00056678,0.00056678
102,833.209,0.72402,0.58595,0.93761,0.75404,0.79263,0.82831,0.50396,1.39398,1.01914,1.36186,0.000555778,0.000555778,0.000555778
